# go test -run='^$' -bench=. -benchmem -benchtime=200ms -count=10 ./roaring_bitmaps/bench
# ROARING_N=200000 (default), amd64 AVX-512, GOEXPERIMENT=simd, packed containers


goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkAnd/version=v2/data=zipf-24             	     345	    700041 ns/op	  621307 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     327	    730405 ns/op	  621306 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     348	    749365 ns/op	  621305 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     276	    810433 ns/op	  621306 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     320	    826655 ns/op	  621305 B/op	    6543 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      48	   4880356 ns/op	 2468051 B/op	   65239 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      48	   5159868 ns/op	 2468050 B/op	   65239 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      46	   4932610 ns/op	 2468051 B/op	   65239 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      45	   5029852 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      56	   4151697 ns/op	 2468048 B/op	   65239 allocs/op
BenchmarkAnd/version=v3/data=sparse-24           	      44	   5131617 ns/op	 2468052 B/op	   65239 allocs/op
