goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6627	     35397 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6478	     36699 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6934	     33368 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6183	     38854 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    5794	     38334 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6289	     38105 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    7330	     39468 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6738	     41276 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    5407	     39400 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      55	   4198208 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      56	   4312470 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      56	   4414754 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      58	   4048676 ns/op	  777354 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      54	   4065076 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      56	   3938378 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      62	   3898402 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      58	   4039822 ns/op	  777353 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      52	   3984580 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDAndNot/simd=off/data=zipf-24             	      58	   4016040 ns/op	  777352 B/op	    6901 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      18	  11809326 ns/op	 4563178 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      25	   9233237 ns/op	 4563171 B/op	   65580 allocs/op
